Title,Company,Location,Via,Related Links,Extensions
Administrative Assistant,LBYD Engineers,"  Kalamazoo, MI   ",via LinkedIn,"[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1324942501-administrative-assistant-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Kalamazoo, MI - Geebo""}]","2 days ago, Full-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
Administrative Assistant,Township of Kalamazoo Police Department,"  Kalamazoo, MI   ",via SimplyHired,"[{""link"": ""https://www.ziprecruiter.com/c/ATC-HEALTHCARE-INC/Job/Administrative-Assistant-Data-Entry-Receptionist/-in-Kalamazoo,MI?jid=eb0faebb9f83652f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on ZipRecruiter""}]","10 hours ago, Full-time, Health insurance, Dental insurance, Paid time off"
Community Investment Administrative Assistant,City of Kalamazoo,"  Kalamazoo, MI   ",via GovernmentJobs.com,"[{""link"": ""https://www.indeed.com/viewjob?jk=7eec4b6cce0e1760"", ""text"": ""Apply on Indeed""}]","3 days ago, 24.87–30.30 an hour, Full-time, No degree mentioned"
Administrative Assistant I,Western Michigan University,"  Kalamazoo, MI   ",via SimplyHired,"[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1323570022-administrative-assistant-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Kalamazoo, MI - Geebo""}]","19 hours ago, Full-time, No degree mentioned, Health insurance, Dental insurance"
Administrative Assistant/Scheduler,Neuropsychology Associates,"  Kalamazoo, MI   ","via Kalamazoo, MI - Geebo","[{""link"": ""https://www.governmentjobs.com/careers/kalamazoomi/jobs/4455432/community-investment-administrative-assistant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on GovernmentJobs.com""}]","3 days ago, 20–28 an hour, Full-time and Part-time, No degree mentioned, Health insurance"
Administrative Assistant,Life EMS Ambulance,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.indeed.com/viewjob?jk=b18b03fe43dc2a4a"", ""text"": ""Apply directly on Indeed""}]","7 days ago, 15.01–28.00 an hour, Full-time, No degree mentioned"
Administrative Assistant,NuBrite Agency LLC,"  Kalamazoo, MI   ",via Indeed,"[{""link"": ""https://www.indeed.com/viewjob?jk=dfba2b8f6a859152"", ""text"": ""Apply directly on Indeed""}]","7 days ago, 15.50–18.00 an hour, Full-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
Administrative Assistant,Mall City Mechanical,"  Kalamazoo, MI   ","via Kalamazoo, MI - Geebo","[{""link"": ""https://www.indeed.com/viewjob?jk=5cd0595dc5c4af1e"", ""text"": ""Apply on Indeed""}]","24 hours ago, 20–28 an hour, Full-time, No degree mentioned, Health insurance, Dental insurance, Paid time off"
Administrative Assistant,FAMILY HEALTH CARE CENTER OF KALAMAZOO,"  Kalamazoo, MI   ","via Kalamazoo, MI - Geebo","[{""link"": ""https://kalamazoo-mi.geebo.com/jobs-online/view/id/1318175748-administrative-assistant-scheduler-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply directly on Kalamazoo, MI - Geebo""}]","4 days ago, 20–28 an hour, Full-time, Health insurance, Dental insurance, Paid time off"
Administrative Assistant/Data Entry Receptionist,ATC HEALTHCARE INC,"  Kalamazoo, MI   ",via ZipRecruiter,"[{""link"": ""https://www.linkedin.com/jobs/view/administrative-assistant-at-lbyd-engineers-3902450065?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"", ""text"": ""Apply on LinkedIn""}]","20 hours ago, Full-time, No degree mentioned"
